"scientificName","decimalLongitude","decimalLatitude","depth","symbio"
"Acropora robusta",115.5169,-32.0327,NA,"z"
"Acropora robusta",115.5169,-32.0327,NA,"z"
"Acropora robusta",132.74083,32.77167,NA,"z"
"Acropora samoensis",132.73306,32.77917,NA,"z"
"Acropora samoensis",132.73306,32.77917,NA,"z"
"Acropora samoensis",-0.55,42.56667,NA,"z"
"Acropora samoensis",132.74083,32.77167,NA,"z"
"Acropora samoensis",132.73306,32.77917,NA,"z"
"Acropora samoensis",132.73306,32.77917,NA,"z"
"Acropora samoensis",132.73306,32.77917,NA,"z"
"Acropora samoensis",135.33805,33.69277,NA,"z"
"Acropora samoensis",131.03778,31.82806,NA,"z"
"Acropora samoensis",159.05167,-31.51833,NA,"z"
"Acropora samoensis",159.05167,-31.51833,NA,"z"
"Acropora samoensis",135.77,33.47528,NA,"z"
"Acropora samoensis",131.03778,31.82806,NA,"z"
"Acropora samoensis",2.98333,39.61666,NA,"z"
"Acropora samoensis",159.1,-31.55,NA,"z"
"Acropora samoensis",132.70972,32.79722,NA,"z"
"Acropora samoensis",-0.55,42.56667,NA,"z"
"Acropora samoensis",135.74333,33.48027,NA,"z"
"Acropora samoensis",2.98333,39.61666,NA,"z"
"Acropora samoensis",135.77,33.47528,NA,"z"
"Acropora samoensis",-0.55,42.56667,NA,"z"
"Acropora samoensis",135.77,33.47528,NA,"z"
"Acropora samoensis",135.74333,33.48027,NA,"z"
"Acropora samoensis",132.73306,32.77917,NA,"z"
"Acropora samoensis",132.73306,32.77917,NA,"z"
"Acropora samoensis",159.15,-31.46667,NA,"z"
"Acropora samoensis",132.73306,32.77917,NA,"z"
"Acropora samoensis",135.77,33.47528,NA,"z"
"Acropora samoensis",135.32444,33.68638,NA,"z"
"Acropora samoensis",159.08167,-31.52666,NA,"z"
"Acropora samoensis",135.77,33.47528,NA,"z"
"Acropora samoensis",132.70972,32.79722,NA,"z"
"Acropora samoensis",159.15,-31.46667,NA,"z"
"Acropora samoensis",159.05167,-31.51833,NA,"z"
"Acropora samoensis",132.73306,32.77917,NA,"z"
"Acropora samoensis",132.74083,32.77167,NA,"z"
"Acropora samoensis",132.73306,32.77917,NA,"z"
"Acropora samoensis",135.77,33.47528,NA,"z"
"Acropora samoensis",131.03916,31.82055,NA,"z"
"Acropora samoensis",159.08167,-31.52666,NA,"z"
"Acropora samoensis",148.0296,-40.22755,NA,"z"
"Acropora samoensis",159.08167,-31.52666,NA,"z"
"Acropora sarmentosa",132.73306,32.77917,NA,"z"
"Acropora secale",159.05167,-31.51833,NA,"z"
"Acropora selago",115.519996643,-32,1,"z"
"Acropora solitaryensis",159.08167,-31.52666,NA,"z"
"Acropora solitaryensis",159.04667,-31.52167,NA,"z"
"Acropora solitaryensis",159.1000061,-31.54999924,NA,"z"
"Acropora solitaryensis",131.03778,31.82806,NA,"z"
"Acropora solitaryensis",131.03778,31.82806,NA,"z"
"Acropora solitaryensis",159.10166,-31.55667,NA,"z"
"Acropora solitaryensis",159.1000061,-31.54999924,NA,"z"
"Acropora solitaryensis",159.1,-31.55,NA,"z"
"Acropora solitaryensis",132.74083,32.77167,NA,"z"
"Acropora solitaryensis",159.1,-31.55,NA,"z"
"Acropora solitaryensis",132.73306,32.77917,NA,"z"
"Acropora solitaryensis",159.06833,-31.51,NA,"z"
"Acropora solitaryensis",159.07333,-31.515,NA,"z"
"Acropora solitaryensis",159.1000061,-31.54999924,NA,"z"
"Acropora solitaryensis",159.100006104,-31.5499992371,NA,"z"
"Acropora solitaryensis",159.1000061,-31.54999924,NA,"z"
"Acropora solitaryensis",131.03778,31.82806,NA,"z"
"Acropora solitaryensis",131.03778,31.82806,NA,"z"
"Acropora solitaryensis",159.1000061,-31.54999924,NA,"z"
"Acropora solitaryensis",132.74083,32.77167,NA,"z"
"Acropora solitaryensis",159.100006104,-31.5499992371,NA,"z"
"Acropora solitaryensis",159.100006104,-31.5499992371,NA,"z"
"Acropora solitaryensis",159.07333,-31.515,NA,"z"
"Acropora solitaryensis",159.100006104,-31.5499992371,NA,"z"
"Acropora solitaryensis",159.07166,-31.55166,NA,"z"
"Acropora solitaryensis",131.03916,31.82055,NA,"z"
"Acropora solitaryensis",159.05833,-31.53166,NA,"z"
"Acropora solitaryensis",159.1,-31.55,NA,"z"
"Acropora solitaryensis",159.1,-31.55,NA,"z"
"Acropora solitaryensis",159.100006104,-31.5499992371,NA,"z"
"Acropora solitaryensis",159.07333,-31.515,NA,"z"
"Acropora solitaryensis",159.1,-31.55,NA,"z"
"Acropora solitaryensis",135.32444,33.68638,NA,"z"
"Acropora solitaryensis",159.07333,-31.515,NA,"z"
"Acropora solitaryensis",131.03916,31.82055,NA,"z"
"Acropora solitaryensis",132.74083,32.77167,NA,"z"
"Acropora solitaryensis",159.100006104,-31.5499992371,NA,"z"
"Acropora solitaryensis",159.1000061,-31.54999924,NA,"z"
"Acropora solitaryensis",135.32444,33.68638,NA,"z"
"Acropora solitaryensis",159.100006104,-31.5499992371,NA,"z"
"Acropora solitaryensis",159.100006104,-31.5499992371,NA,"z"
"Acropora solitaryensis",159.1,-31.55,NA,"z"
"Acropora solitaryensis",159.1,-31.55,NA,"z"
"Acropora solitaryensis",131.03916,31.82055,NA,"z"
"Acropora solitaryensis",159.07166,-31.55166,NA,"z"
"Acropora solitaryensis",131.03778,31.82806,NA,"z"
"Acropora solitaryensis",159.1,-31.55,NA,"z"
"Acropora solitaryensis",159.100006104,-31.5499992371,NA,"z"
"Acropora solitaryensis",159.1000061,-31.54999924,NA,"z"
"Acropora solitaryensis",159.100006104,-31.5499992371,NA,"z"
"Acropora solitaryensis",131.03778,31.82806,NA,"z"
"Acropora solitaryensis",159.07333,-31.515,NA,"z"
"Acropora solitaryensis",159.08167,-31.52666,NA,"z"
"Acropora solitaryensis",159.1000061,-31.54999924,NA,"z"
"Acropora solitaryensis",159.06833,-31.51,NA,"z"
"Acropora solitaryensis",159.07333,-31.515,NA,"z"
"Acropora solitaryensis",132.74083,32.77167,NA,"z"
"Acropora solitaryensis",159.1000061,-31.54999924,NA,"z"
"Acropora solitaryensis",159.05833,-31.53166,NA,"z"
"Acropora solitaryensis",159.100006104,-31.5499992371,NA,"z"
"Acropora solitaryensis",159.100006104,-31.5499992371,NA,"z"
"Acropora solitaryensis",159.10166,-31.55667,NA,"z"
"Acropora solitaryensis",159.1000061,-31.54999924,NA,"z"
"Acropora solitaryensis",135.32444,33.68638,NA,"z"
"Acropora solitaryensis",159.07166,-31.55166,NA,"z"
"Acropora solitaryensis",159.10166,-31.55667,NA,"z"
"Acropora solitaryensis",159.1000061,-31.54999924,NA,"z"
"Acropora solitaryensis",159.1,-31.55,NA,"z"
"Acropora solitaryensis",159.1,-31.55,NA,"z"
"Acropora solitaryensis",159.08167,-31.52666,NA,"z"
"Acropora solitaryensis",131.03778,31.82806,NA,"z"
"Acropora solitaryensis",159.055,-31.52,NA,"z"
