valid.name,redlistCategory,corallite,branching,integration,budding,family
Lobophyllia hassi,Vulnerable,20,NB,2,intra,Lobophylliidae
Lobophyllia hataii,Least Concern,30,NB,2,intra,Lobophylliidae
Lobophyllia hemprichii,Least Concern,26.8,NB,2,intra,Lobophylliidae
Lobophyllia radians,Least Concern,35,NB,2,intra,Lobophylliidae
Lobophyllia recta,Least Concern,9,NB,2,intra,Lobophylliidae
Lobophyllia robusta,Least Concern,47.5,NB,2,intra,Lobophylliidae
Lobophyllia rowleyensis,Near Threatened,8.5,NB,2,intra,Lobophylliidae
Lobophyllia serrata,Endangered,40.2,NB,2,intra,Lobophylliidae
Lobophyllia valenciennesii,Least Concern,35,LB,2,intra,Lobophylliidae
Lobophyllia vitiensis,Near Threatened,70,NB,2,intra,Lobophylliidae
Madracis decactis,Least Concern,2.2,LB,3,extra,Pocilloporidae
Madracis formosa,Least Concern,1.6,MB,3,extra,Pocilloporidae
Madracis kirbyi,Least Concern,2.6,LB,3,extra,Pocilloporidae
Madracis senaria,Least Concern,1.8,LB,3,extra,Pocilloporidae
Manicina areolata,Least Concern,8.8,NB,7,intra,Faviidae
Meandrina braziliensis,Data Deficient,13.3,NB,6,intra,Meandrinidae
Meandrina meandrites,Least Concern,13.5,NB,6,intra,Meandrinidae
