sp,new,extinct,source,notes,accepted,extinct.final,accepted.name,corallite,source1,shape,source2
Stylophora monticulosa,Stylophora monticulosa,extinct,pbdb,NA,yes,extinct,,,,,
Stylophora panamensis,Stylophora affinis,NA,pbdb,unaccepted in worms,yes,extinct,Stylophora affinis,,,,
Stylophora undata,Stylophora undata,extinct,pbdb,NA,yes,extinct,,,,,
Thysanus corbicula,Thysanus corbicula,extinct,pbdb,NA,yes,extinct,,,,,
Thysanus excentricus,Thysanus excentricus,extinct,worms,NA,yes,extinct,,,,,
Thysanus navicula,Thysanus navicula,extinct,pbdb,NA,yes,extinct,,,,,
Trachyphyllia bilobata,Trachyphyllia bilobata,extant,pbdb,NA,yes,extant,,,,,
Undaria agaricites,Agaricia agaricites,extant,pbdb,unaccepted in worms,yes,extant,Agaricia agaricites,,,,
Undaria crassa,Agaricia agaricites,extant,pbdb,NA,yes,extant,Agaricia agaricites,,,,
Undaria pusilla,Agaricia tenuifolia,NA,NA,a variant of A. tenuifolia,yes,extant,Agaricia tenuifolia,,,,
