"assessmentId","internalTaxonId","scientificName","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","infraType","infraName","infraAuthority","authority","redlistCategory","redlistCriteria","criteriaVersion","populationTrend","scopes","valid"
3793719,133540,"Poritipora paliformis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Poritipora","paliformis",NA,NA,NA,"Veron, 2002","Vulnerable","A4c",3.1,"Unknown","Global","Goniopora paliformis"
3794074,133541,"Isopora elizabethensis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Isopora","elizabethensis",NA,NA,NA,"Veron, 2002","Data Deficient","",3.1,"Decreasing","Global","Isopora elizabethensis"
3794364,133542,"Leptastrea aequalis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","FAVIIDAE","Leptastrea","aequalis",NA,NA,NA,"Veron, 2002","Vulnerable","A4c",3.1,"Decreasing","Global","Leptastrea aequalis"
3794762,133543,"Porites brighami","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Porites","brighami",NA,NA,NA,"Vaughan, 1907","Least Concern","",3.1,"Unknown","Global","Porites brighami"
3795073,133544,"Madracis carmabi","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ASTROCOENIIDAE","Madracis","carmabi",NA,NA,NA,"Vermeij Diekmann &amp; Bak, 2003","Data Deficient","",3.1,"Unknown","Global","Madracis carmabi"
3795789,133546,"Porites latistella","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Porites","latistella",NA,NA,NA,"Quelch, 1886","Least Concern","",3.1,"Unknown","Global","Porites latistellata"
3796328,133547,"Acropora yongei","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","yongei",NA,NA,NA,"Veron &amp; Wallace, 1984","Least Concern","",3.1,"Decreasing","Global","Acropora yongei"
3797544,133549,"Porites panamensis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","PORITIDAE","Porites","panamensis",NA,NA,NA,"Verril, 1866","Least Concern","",3.1,"Stable","Global","Porites panamensis"
3798083,133550,"Acropora glauca","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","ACROPORIDAE","Acropora","glauca",NA,NA,NA,"(Brook, 1893)","Near Threatened","",3.1,"Decreasing","Global","Acropora glauca"
3799217,133552,"Pocillopora fungiformis","ANIMALIA","CNIDARIA","SCLERACTINIA","ANTHOZOA","POCILLOPORIDAE","Pocillopora","fungiformis",NA,NA,NA,"Veron, 2002","Endangered","A4c",3.1,"Unknown","Global","Pocillopora fungiformis"
